Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
2,3400,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2200,300,250,250,100,0,0,0,0,0,0
3,3532.33,600,2932.33,282.33,278,412,348,253,327,258,229,90,130,325,0,0,0,100,100,100,100,100,100,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7631,2330,5301,480,591,560,405,316,328,349,486,400,370,424,592,100,150,150,250,250,150,250,250,250,250,250,30
29,4515,465,4050,168,434,739,732,524,86,246,349,302,200,198,72,0,0,15,100,100,0,25,25,0,100,100,0
34,41,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2837,0,2837,0,0,84,205,177,79,156,240,524,442,436,494,0,0,0,0,0,0,0,0,0,0,0,0
55,1367,691,676,0,0,0,66,172,84,0,0,70,50,102,132,30,35,50,50,55,51,55,60,65,75,80,85
63,317,250,67,58,9,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
67,7380.84,1660,5720.84,0,240.5,345.67,336.67,411,619,689,800,537,508,578,656,100,0,100,100,100,125,225,250,250,130,0,280
83,40,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2430.5,120,2310.5,180,180,242,239,276,236,271.5,262,0,85,51,288,0,0,10,15,20,25,25,25,0,0,0,0
100,229.67,0,229.67,229.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1046,0,1046,140,148,0,0,138,0,0,282,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3361,560,2801,220,220,255,306,276,288,304,404,304,224,0,0,0,100,115,50,120,100,25,25,25,0,0,0
119,224,0,224,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,10940,734,10206,140,720,616,560,632,656,734,804,781,866,1583,2114,0,0,0,0,0,0,106,100,100,100,100,228
126,956,75,881,120,150,184,66,110,158,93,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0,0,0
138,250,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3860.5,785,3075.5,871,868,422.5,496,418,0,0,0,0,0,0,0,250,250,250,15,20,0,0,0,0,0,0,0
153,2607,205,2402,180,180,199,257,278,248,256,256,276,272,0,0,0,0,15,15,70,25,25,0,25,30,0,0
154,360,0,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,5365,3315,2050,30,105,79,144,175,214,245,198,250,200,203,207,50,50,100,200,250,250,275,350,350,350,590,500
