"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"1",3400,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2200,300,250,250,100,0,0,0,0,0,0,2
"2",3532.33,600,2932.33,282.33,278,412,348,253,327,258,229,90,130,325,0,0,0,100,100,100,100,100,100,0,0,0,0,1
"5",4515,465,4050,168,434,739,732,524,86,246,349,302,200,198,72,0,0,15,100,100,0,25,25,0,100,100,0,1
"6",41,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"7",2837,0,2837,0,0,84,205,177,79,156,240,524,442,436,494,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",1367,691,676,0,0,0,66,172,84,0,0,70,50,102,132,30,35,50,50,55,51,55,60,65,75,80,85,3
"9",317,250,67,58,9,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,3
"11",40,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"12",2430.5,120,2310.5,180,180,242,239,276,236,271.5,262,0,85,51,288,0,0,10,15,20,25,25,25,0,0,0,0,1
"13",229.67,0,229.67,229.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"14",1046,0,1046,140,148,0,0,138,0,0,282,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"15",3361,560,2801,220,220,255,306,276,288,304,404,304,224,0,0,0,100,115,50,120,100,25,25,25,0,0,0,1
"16",224,0,224,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"18",956,75,881,120,150,184,66,110,158,93,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0,0,0,3
"19",250,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20",3860.5,785,3075.5,871,868,422.5,496,418,0,0,0,0,0,0,0,250,250,250,15,20,0,0,0,0,0,0,0,1
"21",2607,205,2402,180,180,199,257,278,248,256,256,276,272,0,0,0,0,15,15,70,25,25,0,25,30,0,0,1
"22",360,0,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"23",5365,3315,2050,30,105,79,144,175,214,245,198,250,200,203,207,50,50,100,200,250,250,275,350,350,350,590,500,2
"24",4305.25,240,4065.25,208,208,272.25,315,326,549,354,345,392,448,264,384,0,0,0,25,25,25,25,25,25,30,30,30,1
"25",1556,125,1431,200,320,244,0,0,421,246,0,0,0,0,0,0,100,0,0,0,25,0,0,0,0,0,0,1
"26",188,0,188,0,0,114,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"27",726,50,676,140,90,158,162,126,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3
"29",4370.34,1045,3325.34,200,220,271,301.34,330,304,366,442,370,370,91,60,200,100,15,100,100,100,100,100,100,130,0,0,1
"31",2678.4,1150,1528.4,263.4,0,38,96,0,71,180,196,188,0,96,400,100,100,100,100,50,50,100,100,100,100,100,150,1
"32",1122,800,322,136,120,66,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,100,100,0,0,0,3
"33",150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,0,3
"34",58,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"35",630,70,560,0,0,0,0,298,180,0,82,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,3
"36",868,250,618,460,158,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,3
"37",878,0,878,200,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"38",130,0,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"39",1541.34,350,1191.34,0,0,0,38.34,110,84,136,91,176,234,0,322,0,0,0,0,0,0,0,0,0,0,350,0,1
"40",1553,465,1088,266,180,200,224,218,0,0,0,0,0,0,0,0,50,50,50,0,50,50,50,50,50,35,30,1
"41",1964,1200,764,52,64,0,50,0,0,0,135,209,68,82,104,100,100,100,100,100,100,100,100,100,100,100,100,1
"42",992,900,92,0,0,0,0,0,0,0,0,49,43,0,0,0,100,100,100,0,100,50,50,100,100,100,100,3
"44",300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,3
"45",1470,14,1456,210,210,298,156,0,237,249,96,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,1
"47",3872,0,3872,220,240,272,280,316,316,316,316,370,320,356,550,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",8120,5000,3120,58,32,40.5,140.5,433,386,554,368,480,340,0,288,0,0,0,0,1500,0,0,2000,1500,0,0,0,2
"49",159,0,159,87,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"50",3795,127,3668,256,248,317,261,294,318,256,256,330,384,352,396,0,2,15,65,20,0,0,25,0,0,0,0,1
"51",761,0,761,0,70,0,0,0,95,100,76,92,90,84,154,0,0,0,0,0,0,0,0,0,0,0,0,3
"52",799,375,424,274,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,100,50,0,50,25,3
"53",1545,0,1545,155,626,172,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"54",214,0,214,74,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"55",70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"56",1021,105,916,0,0,0,330,316,0,0,0,270,0,0,0,0,0,0,50,30,0,0,0,25,0,0,0,3
"57",4038.5,3050,988.5,0,0,90,0,0,132,244,38,156,52.5,60,216,250,0,250,250,300,500,500,500,500,0,0,0,2
"58",2960.5,655,2305.5,496,32,218.5,74,59,149,100,276,0,291,316,294,50,50,50,50,50,50,50,50,50,50,50,105,1
"59",3408,425,2983,0,166,225,246,312,296,396,264,232,270,282,294,0,26,15,55,25,25,50,31,108,30,30,30,1
"60",48,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"61",2456,173,2283,158,196,241,249,185,180,244,212,192,228,198,0,50,50,15,15,28,15,0,0,0,0,0,0,1
"63",1145.67,0,1145.67,104,0,174.67,417,299,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"64",568,0,568,0,0,0,0,398,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"65",50,12,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3
"66",2684,266,2418,218,196,327,315,354,328,340,340,0,0,0,0,30,16,35,25,25,35,50,25,25,0,0,0,1
"67",48,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"68",2233,560,1673,230,176,184,239,252,272,0,0,320,0,0,0,50,0,25,65,95,125,0,0,200,0,0,0,1
"70",107.5,0,107.5,0,18.5,40.5,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"71",24.5,0,24.5,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"72",4396,1200,3196,406,230,560,290,321,333,332,234,86,140,154,110,0,300,100,100,100,0,100,100,100,100,100,100,1
"73",288,0,288,118,64,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"76",928,400,528,0,12,0,110,123,0,0,100,183,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,3
"77",486,0,486,0,0,0,0,0,37,141,60,164,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"79",200,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"80",328,0,328,0,0,0,0,0,90,144,0,0,40,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3
"83",1314.68,0,1314.68,123,288.68,260,148,76,322,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"85",68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"86",380,0,380,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,3
"87",242,0,242,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"88",270,0,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"89",833,75,758,52,0,108,598,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,3
"90",437,0,437,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"92",4714,0,4714,0,0,1203,1550,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",4715.16,0,4715.16,520,0,638,885,392,344,456,168,401,354,273.16,284,0,0,0,0,0,0,0,0,0,0,0,0,1
