"","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","KmeansClustering.cluster"
"1",300,2200,300,250,250,100,0,0,0,0,0,2
"2",0,0,100,100,100,100,100,100,0,0,0,3
"5",0,0,15,100,100,0,25,25,0,100,100,3
"8",30,35,50,50,55,51,55,60,65,75,80,3
"9",250,0,0,0,0,0,0,0,0,0,0,3
"12",0,0,10,15,20,25,25,25,0,0,0,3
"15",0,100,115,50,120,100,25,25,25,0,0,3
"18",0,0,0,0,0,0,25,50,0,0,0,3
"20",250,250,250,15,20,0,0,0,0,0,0,3
"21",0,0,15,15,70,25,25,0,25,30,0,3
"23",50,50,100,200,250,250,275,350,350,350,590,2
"24",0,0,0,25,25,25,25,25,25,30,30,3
"25",0,100,0,0,0,25,0,0,0,0,0,3
"27",0,0,0,0,50,0,0,0,0,0,0,3
"29",200,100,15,100,100,100,100,100,100,130,0,3
"31",100,100,100,100,50,50,100,100,100,100,100,3
"32",100,100,100,100,100,100,0,100,100,0,0,3
"33",50,0,0,0,100,0,0,0,0,0,0,3
"35",0,0,0,0,70,0,0,0,0,0,0,3
"36",250,0,0,0,0,0,0,0,0,0,0,3
"39",0,0,0,0,0,0,0,0,0,0,350,3
"40",0,50,50,50,0,50,50,50,50,50,35,3
"41",100,100,100,100,100,100,100,100,100,100,100,3
"42",0,100,100,100,0,100,50,50,100,100,100,3
"44",0,0,100,100,100,0,0,0,0,0,0,3
"45",0,0,8,6,0,0,0,0,0,0,0,3
"50",0,2,15,65,20,0,0,25,0,0,0,3
"52",0,0,0,0,50,50,50,100,50,0,50,3
"56",0,0,0,50,30,0,0,0,25,0,0,3
"57",250,0,250,250,300,500,500,500,500,0,0,2
"58",50,50,50,50,50,50,50,50,50,50,50,3
"59",0,26,15,55,25,25,50,31,108,30,30,3
"61",50,50,15,15,28,15,0,0,0,0,0,3
"65",0,0,0,12,0,0,0,0,0,0,0,3
"66",30,16,35,25,25,35,50,25,25,0,0,3
"68",50,0,25,65,95,125,0,0,200,0,0,3
"72",0,300,100,100,100,0,100,100,100,100,100,3
"76",100,100,100,100,0,0,0,0,0,0,0,3
"89",0,0,0,0,0,50,0,0,0,25,0,3
"102",100,100,150,200,250,250,250,250,250,250,250,2
"103",0,0,0,0,0,0,0,0,25,25,0,3
"105",0,50,75,75,75,75,100,100,100,100,100,3
"106",0,0,0,0,0,0,0,0,0,0,0,3
"108",0,0,0,0,0,0,0,0,0,20,20,3
"111",250,250,500,0,0,0,0,0,250,300,0,3
"113",0,0,0,0,0,0,0,0,0,0,25,3
"125",0,0,0,0,0,0,0,0,0,0,0,3
"129",0,0,0,50,50,50,50,50,75,75,75,3
"136",0,0,0,0,0,0,0,0,0,0,33,3
"143",50,0,0,0,0,0,0,0,0,0,0,3
"145",0,0,0,0,0,0,0,0,0,200,0,3
"147",50,50,50,50,50,0,25,25,50,50,50,3
"152",0,0,0,0,0,0,0,0,50,75,75,3
"155",130,130,140,0,0,0,0,0,0,0,0,3
"180",0,50,50,100,100,0,100,100,150,100,150,3
"181",50,250,100,100,125,150,150,150,200,0,150,3
"184",250,0,0,0,0,0,0,0,0,0,0,3
"185",50,50,0,100,0,100,250,350,200,250,100,3
"186",50,0,0,20,20,0,0,0,0,0,0,3
"187",0,0,0,0,250,250,250,250,0,0,0,3
"188",0,200,250,0,0,0,0,0,0,0,0,3
"189",0,0,0,250,0,500,250,300,250,250,2250,1
"190",0,50,0,0,50,0,50,0,50,0,50,3
"191",50,50,50,50,50,50,50,50,50,100,100,3
"192",525,525,600,525,525,600,0,0,0,0,0,2
"193",0,0,0,0,50,50,100,50,100,100,100,3
"194",0,0,0,250,0,0,0,0,0,0,0,3
"195",0,100,0,0,0,0,0,0,0,0,0,3
"196",25,200,15,15,20,25,25,0,0,0,0,3
"197",10,0,0,0,0,0,0,0,0,0,0,3
"198",233,200,250,100,120,125,100,125,100,0,100,2
"199",0,0,25,100,100,0,100,0,100,100,100,3
"200",0,100,0,0,0,0,0,0,0,0,0,3
"201",50,0,0,0,0,0,0,0,0,0,0,3
"202",0,0,25,80,50,50,0,0,0,0,0,3
"203",100,100,100,100,200,200,400,100,100,100,100,2
"204",0,0,50,50,50,50,50,0,0,0,0,3
"205",75,100,0,0,0,0,0,0,0,0,0,3
"206",100,0,0,15,0,0,0,0,0,0,0,3
"207",150,150,0,125,0,0,25,0,0,0,0,3
"208",500,0,0,0,0,0,0,0,0,0,0,3
"209",0,50,75,75,0,0,0,0,0,0,0,3
"210",0,100,75,100,0,125,100,75,25,150,100,3
"211",50,50,50,50,50,50,0,0,0,0,0,3
"212",50,100,15,16,0,0,0,0,0,0,0,3
"213",50,50,50,50,0,0,0,0,0,0,0,3
"214",0,0,0,25,0,0,0,0,0,0,0,3
"215",35,100,0,50,50,0,0,0,0,0,0,3
"216",0,0,0,0,20,20,0,0,25,0,0,3
"217",0,25,50,50,50,0,0,50,30,30,0,3
"218",0,0,50,0,0,0,0,0,0,0,0,3
"219",0,100,100,100,100,100,50,50,0,0,75,3
"220",0,50,0,0,0,0,0,0,0,0,0,3
"221",50,0,0,0,0,0,0,0,0,0,0,3
"222",50,50,50,50,50,50,50,50,50,50,0,3
"223",0,250,0,0,0,0,0,0,0,0,0,3
"224",0,50,75,100,100,100,100,108,125,0,0,3
"225",0,100,100,100,250,250,250,500,500,500,500,1
"226",100,0,0,0,0,0,0,0,0,0,0,3
"227",0,300,50,250,100,100,100,100,100,50,50,3
"228",0,50,50,50,50,50,50,50,0,100,75,3
"229",100,50,100,0,0,1000,500,250,0,1000,250,2
"230",100,100,100,100,100,0,100,100,100,100,100,3
"231",400,200,0,225,300,0,0,0,0,0,0,3
"232",0,300,0,0,100,50,150,50,55,55,50,3
"233",50,0,0,0,0,0,0,0,0,0,0,3
"234",100,0,0,0,0,0,0,0,0,0,0,3
"235",0,60,0,0,0,0,0,0,0,0,0,3
"236",0,60,0,0,0,0,0,0,0,0,0,3
"237",0,0,250,250,0,250,250,250,250,250,250,2
"238",100,100,100,100,100,100,100,100,100,105,100,3
"239",0,1250,1500,0,0,0,0,0,0,0,0,2
"240",500,500,500,500,500,0,0,0,0,0,0,2
"241",50,0,0,0,0,0,0,0,0,0,0,3
"242",0,100,0,0,0,0,0,0,0,0,0,3
"244",66,50,65,50,0,0,0,0,0,0,0,3
"245",100,100,0,0,150,100,100,25,100,0,0,3
"246",0,0,200,0,0,0,0,0,0,0,0,3
"247",0,50,65,0,0,0,0,0,0,0,0,3
"248",150,150,100,100,0,0,0,0,0,0,0,3
"249",141,0,0,0,50,0,100,100,0,0,0,3
"250",0,50,50,56,66,75,50,50,0,0,0,3
"252",50,0,50,75,100,100,200,250,100,100,100,3
"253",0,0,15,100,100,100,100,100,100,100,100,3
"254",100,0,100,0,100,0,0,0,0,0,0,3
"255",0,0,0,0,50,50,0,50,60,0,50,3
"256",100,100,100,0,0,0,0,0,0,50,0,3
"257",100,100,100,100,100,0,0,0,0,0,0,3
"259",0,400,0,0,0,0,0,0,0,0,0,3
"260",0,50,25,25,25,20,0,50,25,25,25,3
"262",0,0,15,58,0,0,0,0,0,0,0,3
"263",0,50,0,0,50,0,0,50,0,0,0,3
"264",50,50,50,0,0,0,0,0,0,0,0,3
"265",0,50,50,0,0,0,0,0,0,0,0,3
"267",0,0,150,0,0,0,0,0,0,0,0,3
"268",0,0,0,15,45,75,75,50,75,75,75,3
"269",0,0,0,0,0,250,0,0,0,0,0,3
"270",0,50,0,0,50,50,0,0,0,0,0,3
"271",50,0,0,0,50,0,0,0,0,0,0,3
"272",0,0,0,10,0,0,0,0,0,0,0,3
"273",50,50,100,100,100,50,50,100,100,100,100,3
"274",0,0,0,150,0,0,0,0,0,0,0,3
"275",0,0,15,15,70,100,102,100,100,0,350,3
"276",600,0,200,200,0,600,600,0,0,250,0,2
"277",0,0,0,100,100,0,0,0,0,0,0,3
"278",0,100,50,50,50,50,0,50,0,0,0,3
"279",0,0,0,0,100,0,25,25,0,0,0,3
"280",0,0,100,0,0,0,0,0,0,0,0,3
"282",0,0,50,0,0,0,0,0,0,0,0,3
"283",250,250,250,250,260,270,280,280,300,0,0,2
"284",250,100,50,100,100,100,250,250,250,50,100,2
"285",20,30,0,65,20,25,25,50,0,30,0,3
"286",0,0,115,200,100,0,0,0,0,0,50,3
"287",0,0,100,0,0,0,0,0,0,0,0,3
"288",0,0,0,100,0,0,0,0,0,0,0,3
"289",0,0,0,100,0,0,0,0,0,0,0,3
"290",126,100,150,0,0,0,0,0,0,0,0,3
"291",0,0,15,40,50,0,0,0,0,0,0,3
"292",0,0,0,15,0,0,0,0,0,0,0,3
"293",100,0,0,0,0,0,0,0,0,0,0,3
"294",25,0,0,0,0,0,75,0,0,0,60,3
"295",0,0,0,200,0,0,0,100,200,200,100,3
"296",0,0,0,100,120,0,0,0,0,0,0,3
"297",50,25,100,50,50,50,50,50,75,25,75,3
"298",26,81,115,149,170,175,200,175,100,30,0,2
"299",0,0,0,50,100,100,100,100,0,0,0,3
"300",0,0,0,11,0,0,10,0,0,0,0,3
"302",50,50,50,50,50,25,25,50,0,0,30,3
"303",0,0,0,0,50,50,0,0,0,0,0,3
"304",250,250,250,250,250,250,250,250,250,250,250,2
"306",0,0,500,375,500,0,0,0,0,0,0,2
"307",60,60,50,50,50,50,50,50,50,50,50,3
"308",100,0,0,0,0,0,0,0,0,0,0,3
"309",0,0,0,0,50,1,0,0,0,0,0,3
"311",100,225,100,100,0,100,100,50,75,0,125,3
"312",50,0,0,0,0,0,0,0,0,0,0,3
"313",100,100,100,115,125,100,100,100,0,100,0,3
"314",0,0,0,15,20,22,25,0,10,10,0,3
"315",0,50,0,0,0,0,0,0,0,0,0,3
"318",0,0,50,100,0,0,50,0,50,0,0,3
"319",50,0,0,0,0,0,0,0,0,0,0,3
"320",0,0,50,50,0,0,0,0,0,0,0,3
"321",0,0,100,0,0,0,0,0,0,0,0,3
"322",0,0,15,20,20,0,0,0,0,0,0,3
"323",0,0,0,200,200,100,100,50,0,0,0,3
"324",0,0,50,50,0,0,0,0,0,0,0,3
"326",100,100,150,100,100,100,100,0,200,200,200,3
"327",250,0,0,0,0,0,0,0,0,0,0,3
"328",250,0,0,0,0,0,0,0,0,0,0,3
"329",0,0,0,0,50,50,0,50,50,0,0,3
"330",0,100,175,200,100,100,100,100,100,0,0,3
"331",0,200,0,0,0,0,0,0,0,0,0,3
"332",0,250,250,250,0,250,0,0,0,0,500,3
"333",0,0,0,500,0,100,0,0,0,0,0,3
"334",0,0,0,100,0,0,0,0,0,0,0,3
"335",250,250,250,300,350,375,400,400,400,400,400,2
"336",0,0,15,50,100,0,0,0,0,0,0,3
"337",50,50,50,50,0,50,50,100,0,100,0,3
"338",0,25,0,0,0,0,0,0,0,0,0,3
"339",0,30,15,100,125,50,50,75,48,50,100,3
"340",250,0,0,0,0,0,0,0,0,0,0,3
"341",0,0,0,15,18,8,25,25,0,0,0,3
"342",5,38,25,31,50,25,29,50,50,85,50,3
"343",0,30,0,0,0,0,0,0,0,0,0,3
"344",100,0,0,0,0,0,0,0,0,0,0,3
"345",25,25,0,0,0,0,0,0,0,0,0,3
"347",50,0,100,50,0,0,0,0,0,0,0,3
"348",50,0,50,50,0,0,0,0,0,0,0,3
"349",250,300,75,0,0,0,0,0,0,0,0,3
"350",0,0,0,0,100,0,0,0,0,0,0,3
"351",0,0,0,0,35,35,35,40,0,0,0,3
"353",2250,0,0,0,35,145,0,0,0,100,140,2
"355",100,0,100,120,125,150,150,150,100,200,250,3
"356",21,0,0,0,0,0,25,0,25,0,0,3
"357",250,0,0,0,0,0,0,0,0,0,0,3
"358",0,0,12,20,25,0,25,25,25,25,25,3
"359",0,50,50,50,50,50,0,50,0,100,100,3
"360",0,0,0,100,100,0,0,150,1500,1800,0,1
"361",0,0,15,15,0,25,50,25,25,0,0,3
"362",0,100,0,0,0,0,0,0,0,0,0,3
"363",0,0,0,0,100,0,0,0,0,0,0,3
"364",100,100,200,100,100,100,125,150,150,200,250,3
"365",0,0,0,100,0,100,100,100,100,0,100,3
"366",0,0,50,0,0,0,0,0,0,0,0,3
"367",25,0,0,0,0,0,0,0,0,0,0,3
"368",100,200,100,250,500,500,250,250,250,250,250,2
"369",0,0,100,100,0,100,100,100,100,150,175,3
"370",400,0,0,0,0,0,0,0,0,0,0,3
"371",0,50,15,70,25,31,50,55,50,0,0,3
"372",0,0,0,90,100,50,0,50,100,100,100,3
"373",100,100,50,100,100,100,100,100,100,100,250,3
"375",138,188,115,166,120,100,125,275,100,30,1500,2
"377",75,75,100,60,75,100,100,120,100,50,0,3
"378",100,100,0,0,0,0,0,0,0,0,0,3
"379",0,0,0,15,20,25,39,0,0,0,0,3
"380",0,50,0,0,0,0,0,0,0,0,0,3
"381",0,0,100,100,125,150,200,250,300,500,1000,1
"382",50,50,50,50,50,25,0,0,0,0,0,3
"383",300,100,100,0,0,0,0,0,0,50,0,3
"384",0,25,0,0,0,0,0,0,0,0,0,3
"385",0,0,50,0,0,0,0,0,0,0,0,3
"386",250,0,0,0,0,0,0,0,0,0,0,3
"387",0,0,250,0,0,250,0,0,0,250,250,3
"388",0,0,0,100,100,100,100,100,100,0,0,3
"389",0,25,0,0,0,0,0,0,0,0,0,3
"390",0,50,0,0,0,0,0,0,0,0,0,3
"391",10,10,15,15,20,20,0,0,0,0,0,3
"393",0,0,50,0,0,0,0,0,0,0,0,3
"394",10,10,10,10,20,10,10,20,10,20,10,3
"395",0,1500,0,0,0,0,0,0,0,0,0,3
"396",0,0,0,16,0,0,19,0,0,0,0,3
"397",50,50,50,50,50,50,100,100,100,100,100,3
"398",0,0,40,40,50,51,50,50,100,100,100,3
"400",0,50,100,100,100,0,0,0,0,0,0,3
"401",0,0,0,15,0,0,0,0,0,0,0,3
"402",25,0,0,0,0,0,0,0,0,0,0,3
"403",100,0,0,0,0,0,44,0,0,0,0,3
"404",250,0,0,0,0,0,0,0,0,0,0,3
"405",0,0,15,15,0,50,50,50,0,0,0,3
"406",50,50,50,50,20,0,0,0,0,0,0,3
"407",0,0,250,300,300,200,0,250,0,0,0,2
"408",0,16,30,22,20,50,50,50,100,120,100,3
"409",0,0,0,15,20,0,25,0,0,0,0,3
"410",0,0,0,10,20,0,0,0,0,0,0,3
"411",0,0,15,25,35,25,0,25,25,0,0,3
"412",0,0,0,15,0,0,0,0,0,0,0,3
"414",100,100,100,100,0,0,0,0,0,0,0,3
"415",0,50,50,0,0,0,0,0,0,0,0,3
"416",0,0,0,0,20,25,25,50,25,30,30,3
"417",9,0,0,0,0,0,0,0,0,0,0,3
"418",0,0,15,15,120,125,125,125,125,130,130,3
"419",0,0,100,0,0,0,0,0,0,0,0,3
"420",0,0,0,25,0,0,0,0,0,0,0,3
"421",10,0,0,0,0,0,0,0,0,0,0,3
"422",0,100,0,0,0,0,0,0,0,0,0,3
"423",0,0,0,8,0,0,0,0,0,0,0,3
"424",0,0,100,0,0,0,0,0,0,0,0,3
"425",50,50,0,0,0,0,0,0,0,0,0,3
"426",0,0,75,0,0,0,0,0,0,0,0,3
"427",26,0,0,0,0,0,0,0,0,0,0,3
"428",0,9,0,0,0,0,0,0,0,0,0,3
"429",25,0,0,15,20,25,0,0,0,0,0,3
"430",56,50,15,0,0,0,0,0,0,0,0,3
"431",25,50,0,0,0,0,0,0,0,0,0,3
"432",0,0,15,15,0,25,25,0,0,0,0,3
"433",6,0,0,0,0,0,0,0,0,0,0,3
"434",10,0,0,0,0,0,0,0,0,0,0,3
"435",100,0,0,0,0,0,0,0,0,0,0,3
"436",0,0,10,10,0,0,0,0,0,0,0,3
"437",0,20,10,0,0,0,0,0,0,0,0,3
"438",25,0,0,0,0,0,0,0,0,0,0,3
"439",0,0,25,0,30,2,0,0,0,0,0,3
"442",21,26,15,15,70,95,100,25,25,30,0,3
"443",0,0,15,0,20,0,0,0,0,0,0,3
"444",0,0,0,15,20,0,0,25,0,0,0,3
"445",0,0,0,20,100,25,50,25,30,30,0,3
"446",0,0,0,10,0,0,0,0,0,16,0,3
"447",0,0,0,15,0,0,0,0,0,0,0,3
"448",0,0,0,14,0,0,0,0,0,0,0,3
"449",100,100,15,100,100,0,0,0,0,0,0,3
"450",0,0,0,10,0,0,0,0,0,0,0,3
"451",0,0,15,25,0,0,0,0,0,0,0,3
"452",0,0,0,0,50,0,0,0,0,0,0,3
"453",100,0,0,0,0,0,0,0,0,0,0,3
"454",0,0,16,28,100,67,100,0,126,75,0,3
"455",0,0,0,25,20,50,50,50,50,50,75,3
"456",0,0,0,100,0,0,0,0,0,0,0,3
"457",15,15,15,15,20,0,20,25,25,0,0,3
"458",0,0,0,100,100,25,150,0,500,0,0,3
"459",0,10,20,0,0,0,0,0,0,0,0,3
"460",0,0,15,15,0,0,0,0,0,0,0,3
"461",0,0,0,15,20,0,25,0,0,0,30,3
"462",0,0,100,0,100,0,0,0,0,0,0,3
"463",0,0,15,0,0,0,0,0,0,0,0,3
"464",156,0,0,0,0,0,0,0,0,0,0,3
"465",100,100,50,100,50,100,125,50,50,30,50,3
"466",30,70,0,15,10,25,0,0,0,0,0,3
"467",0,0,0,12,0,0,0,0,0,0,0,3
"468",0,0,5,0,0,0,0,0,0,0,0,3
"469",0,0,0,52,0,0,0,0,0,0,0,3
"471",0,10,0,0,0,0,0,0,0,0,0,3
"472",0,0,0,0,20,25,0,20,0,0,0,3
"473",0,50,50,0,0,0,0,100,100,100,100,3
"474",0,25,0,25,0,0,0,0,0,0,0,3
"475",50,0,0,0,0,2,0,0,0,0,0,3
"476",0,0,0,0,150,150,0,0,0,0,0,3
"477",50,50,50,0,0,0,0,0,0,0,0,3
"478",0,0,0,6,0,0,0,0,0,0,0,3
"479",0,0,0,0,100,0,0,0,0,0,0,3
"480",100,200,0,0,0,0,0,0,0,0,0,3
"481",10,0,0,0,0,0,0,0,0,0,0,3
"482",0,50,50,50,0,50,100,0,100,0,100,3
"483",0,0,0,50,0,0,0,0,0,0,0,3
"484",0,0,50,50,100,0,50,50,75,25,0,3
"487",10,25,0,15,55,25,25,0,25,30,0,3
"488",25,0,50,50,50,50,50,0,75,25,50,3
"489",0,0,0,50,0,0,0,0,0,0,0,3
"490",50,50,90,50,0,0,0,0,0,0,0,3
"491",50,50,50,50,50,50,50,50,0,50,50,3
"493",0,200,0,0,0,0,0,0,0,0,0,3
"494",100,100,100,100,0,0,100,100,0,0,0,3
"495",0,0,125,0,0,0,0,0,0,0,0,3
"496",0,0,0,15,20,0,0,0,75,30,0,3
"497",50,50,100,100,100,100,100,100,100,0,50,3
"498",100,0,100,100,100,100,0,100,100,0,0,3
