"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.New.Donation","X2013.New.Donation","X2014.New.Donation","X2015.New.Donation","X2012.New.Ticket.Revenue","X2013.New.Ticket.Revenue","X2014.New.Ticket.Revenue","X2015.New.Ticket.Revenue","KmeansClustering_4.cluster"
"2",3532.33,600,2932.33,282.33,278,412,348,253,327,258,229,0,0,100,100,100,100,100,100,0,0,0,0,90,130,1300,0,1
"5",4515,465,4050,168,434,739,732,524,86,246,349,0,0,15,100,100,0,25,25,0,100,400,0,302,200,792,360,1
"8",1367,691,676,0,0,0,66,172,84,0,0,30,35,50,50,55,51,55,60,65,75,320,425,70,50,408,660,1
"9",317,250,67,58,9,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"12",2430.5,120,2310.5,180,180,242,239,276,236,271.5,262,0,0,10,15,20,25,25,25,0,0,0,0,0,85,204,1440,1
"15",3361,560,2801,220,220,255,306,276,288,304,404,0,100,115,50,120,100,25,25,25,0,0,0,304,224,0,0,1
"18",956,75,881,120,150,184,66,110,158,93,0,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,3
"20",3860.5,785,3075.5,871,868,422.5,496,418,0,0,0,250,250,250,15,20,0,0,0,0,0,0,0,0,0,0,0,1
"21",2607,205,2402,180,180,199,257,278,248,256,256,0,0,15,15,70,25,25,0,25,30,0,0,276,272,0,0,1
"23",5365,3315,2050,30,105,79,144,175,214,245,198,50,50,100,200,250,250,275,350,350,350,2360,2500,250,200,812,1035,2
"24",4305.25,240,4065.25,208,208,272.25,315,326,549,354,345,0,0,0,25,25,25,25,25,25,30,120,150,392,448,1056,1920,2
"25",1556,125,1431,200,320,244,0,0,421,246,0,0,100,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3
"27",726,50,676,140,90,158,162,126,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,3
"29",4370.34,1045,3325.34,200,220,271,301.34,330,304,366,442,200,100,15,100,100,100,100,100,100,130,0,0,370,370,364,300,1
"31",2678.4,1150,1528.4,263.4,0,38,96,0,71,180,196,100,100,100,100,50,50,100,100,100,100,400,750,188,0,384,2000,1
"32",1122,800,322,136,120,66,0,0,0,0,0,100,100,100,100,100,100,0,100,100,0,0,0,0,0,0,0,3
"35",630,70,560,0,0,0,0,298,180,0,82,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,3
"36",868,250,618,460,158,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"39",1541.34,350,1191.34,0,0,0,38.34,110,84,136,91,0,0,0,0,0,0,0,0,0,0,1400,0,176,234,0,1610,1
"40",1553,465,1088,266,180,200,224,218,0,0,0,0,50,50,50,0,50,50,50,50,50,140,150,0,0,0,0,3
"41",1964,1200,764,52,64,0,50,0,0,0,135,100,100,100,100,100,100,100,100,100,100,400,500,209,68,328,520,1
"42",992,900,92,0,0,0,0,0,0,0,0,0,100,100,100,0,100,50,50,100,100,400,500,49,43,0,0,3
"45",1470,14,1456,210,210,298,156,0,237,249,96,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,3
"48",8120,5000,3120,58,32,40.5,140.5,433,386,554,368,0,0,0,0,1500,0,0,2000,1500,0,0,0,480,340,0,1440,2
"50",3795,127,3668,256,248,317,261,294,318,256,256,0,2,15,65,20,0,0,25,0,0,0,0,330,384,1408,1980,1
"52",799,375,424,274,150,0,0,0,0,0,0,0,0,0,0,50,50,50,100,50,0,200,125,0,0,0,0,3
"56",1021,105,916,0,0,0,330,316,0,0,0,0,0,0,50,30,0,0,0,25,0,0,0,270,0,0,0,3
"57",4038.5,3050,988.5,0,0,90,0,0,132,244,38,250,0,250,250,300,500,500,500,500,0,0,0,156,52.5,240,1080,2
"58",2960.5,655,2305.5,496,32,218.5,74,59,149,100,276,50,50,50,50,50,50,50,50,50,50,200,525,0,291,1264,1470,1
"59",3408,425,2983,0,166,225,246,312,296,396,264,0,26,15,55,25,25,50,31,108,30,120,150,232,270,1128,1470,1
"61",2456,173,2283,158,196,241,249,185,180,244,212,50,50,15,15,28,15,0,0,0,0,0,0,192,228,792,0,1
"65",50,12,38,0,0,0,38,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3
"66",2684,266,2418,218,196,327,315,354,328,340,340,30,16,35,25,25,35,50,25,25,0,0,0,0,0,0,0,1
"68",2233,560,1673,230,176,184,239,252,272,0,0,50,0,25,65,95,125,0,0,200,0,0,0,320,0,0,0,1
"72",4396,1200,3196,406,230,560,290,321,333,332,234,0,300,100,100,100,0,100,100,100,100,400,500,86,140,616,550,2
"76",928,400,528,0,12,0,110,123,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,183,0,0,0,3
"89",833,75,758,52,0,108,598,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,0,3
"102",5714,2550,3164,240,478,280,288,316,189,170,258,100,100,150,200,250,250,250,250,250,250,1000,1250,295,215,752,1235,2
"103",580,75,505,52,63,0,22,0,154,36,0,0,0,0,0,0,0,0,0,25,25,0,125,74,0,0,520,3
"105",1762,950,812,18,35,0,72,0,0,0,342,0,50,75,75,75,75,100,100,100,100,400,500,345,0,0,0,1
"106",407.5,50,357.5,0,18,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,36,110,150,515,3
"108",3360,70,3290,216,256,222,288,316,98,264,320,0,0,0,0,0,0,0,0,0,20,80,150,261,243,1464,2200,1
